house_id,price,image_folder_name,n_images,clean_idx,raw_idx,link
1027,68000,1027_satilir-2-otaqli-kohne-tikili-nizami-rayonu-neftciler-metrosu-8-ci-kilometr-qara-qarayev-prospekti-32,5,19,25,https://arenda.az/satilir-2-otaqli-kohne-tikili-nizami-rayonu-neftciler-metrosu-8-ci-kilometr-qara-qarayev-prospekti-32
1030,148000,1030_satilir-3-otaqli-kohne-tikili-xetai-rayonu-ehmedli-metrosu-ehmedli-ehmedli-qes-lutvuzade-telnov-kuc-4,9,20,28,https://arenda.az/satilir-3-otaqli-kohne-tikili-xetai-rayonu-ehmedli-metrosu-ehmedli-ehmedli-qes-lutvuzade-telnov-kuc-4
1033,9900,1033_satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kuces-8,7,21,31,https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kuces-8
1034,9900,1034_satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kuces-7,7,22,32,https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kuces-7
1035,9900,1035_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kuces-4,11,23,33,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kuces-4
1036,24000,1036_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-16,10,24,34,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-16
1038,92000,1038_satilir-2-otaqli-yeni-tikili-xirdalan-baki-sumqayit-yolu-106,11,25,36,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-baki-sumqayit-yolu-106
1039,54500,1039_satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-671,5,26,37,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-671
1040,25100,1040_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-19,17,27,38,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-19
1041,107000,1041_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kucesi-45,12,28,39,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kucesi-45
1042,104999,1042_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-10,14,29,40,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-10
1043,27000,1043_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-mehemmed-xiyabani-kucesinde-1,14,30,41,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-mehemmed-xiyabani-kucesinde-1
1044,32000,1044_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-6,18,31,42,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-6
1045,13000,1045_satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park-3,7,32,43,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park-3
1046,11000,1046_satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park-2,10,33,44,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park-2
1047,12000,1047_satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park-1,10,34,45,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park-1
1048,12000,1048_satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park,7,35,46,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park
1049,11000,1049_satilir-3-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park,14,36,47,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park
1050,21100,1050_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-bravo-marketin-yaxinliginda,13,37,48,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-bravo-marketin-yaxinliginda
1051,26000,1051_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-23,15,38,49,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-23
1052,26999,1052_satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-14,16,39,50,https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-14
1053,200000,1053_satilir-3-otaqli-yeni-tikili-xetai-rayonu-ehmedli-metrosu-ehmedli-lutfuzade-kucesinde,13,40,51,https://arenda.az/satilir-3-otaqli-yeni-tikili-xetai-rayonu-ehmedli-metrosu-ehmedli-lutfuzade-kucesinde
1058,54000,1058_satilir-1-otaqli-yeni-tikili-xirdalan-aafpark-2,7,41,56,https://arenda.az/satilir-1-otaqli-yeni-tikili-xirdalan-aafpark-2
1063,125000,1063_satilir-1-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yasamal-qes-musteqil-kucesi,7,42,61,https://arenda.az/satilir-1-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yasamal-qes-musteqil-kucesi
1064,88000,1064_satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-qurtulus-93-57,12,43,62,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-qurtulus-93-57
1065,90000,1065_satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-1719,17,44,63,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-1719
1066,87500,1066_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-yeni-baki-yasayis-kompleksi-166,12,45,64,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-yeni-baki-yasayis-kompleksi-166
1069,257000,1069_satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-azadliq-metrosu-bineqedi-ray-sovket-memmedova-kuc-azadliq-m,20,46,66,https://arenda.az/satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-azadliq-metrosu-bineqedi-ray-sovket-memmedova-kuc-azadliq-m
1072,63000,1072_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-1162,10,47,69,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-1162
1073,205000,1073_satilir-4-otaqli-kohne-tikili-yasamal-rayonu-iceriseher-metrosu-yeni-yasamal-qes-d-bunyadzade-kucesi,18,48,70,https://arenda.az/satilir-4-otaqli-kohne-tikili-yasamal-rayonu-iceriseher-metrosu-yeni-yasamal-qes-d-bunyadzade-kucesi
1074,247000,1074_satilir-3-otaqli-yeni-tikili-bineqedi-rayonu-9-cu-mikrorayon-bineqedi-ray-adil-memmedov-kuc-9-mkr,9,49,71,https://arenda.az/satilir-3-otaqli-yeni-tikili-bineqedi-rayonu-9-cu-mikrorayon-bineqedi-ray-adil-memmedov-kuc-9-mkr
1075,80000,1075_satilir-2-otaqli-kohne-tikili-sabuncu-rayonu-koroglu-metrosu-zabrat-1-ayxan-marketin-yaxinligi-binanin-7-9,9,50,72,https://arenda.az/satilir-2-otaqli-kohne-tikili-sabuncu-rayonu-koroglu-metrosu-zabrat-1-ayxan-marketin-yaxinligi-binanin-7-9
1076,225000,1076_satilir-4-otaqli-kohne-tikili-bineqedi-rayonu-azadliq-metrosu-bineqedi-ray-f-melikov-kuc-azadliq-m,18,51,73,https://arenda.az/satilir-4-otaqli-kohne-tikili-bineqedi-rayonu-azadliq-metrosu-bineqedi-ray-f-melikov-kuc-azadliq-m
1077,108000,1077_satilir-2-otaqli-yeni-tikili-xirdalan-xirdalan-4080,5,52,74,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-xirdalan-4080
1080,115000,1080_satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-1633,14,53,77,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-1633
1081,96500,1081_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-2843,13,54,78,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-2843
1082,57000,1082_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-2372,9,55,79,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-2372
1083,80500,1083_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-1175,13,56,80,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-1175
1084,145000,1084_satilir-3-otaqli-yeni-tikili-xirdalan-xirdalan-seher-atlas-residence-yasayis-kompleksi,17,57,81,https://arenda.az/satilir-3-otaqli-yeni-tikili-xirdalan-xirdalan-seher-atlas-residence-yasayis-kompleksi
1085,180000,1085_satilir-2-otaqli-yeni-tikili-nizami-rayonu-neftciler-metrosu-nizami-rayonu-elsen-suleymanov-kucesi-7,17,58,82,https://arenda.az/satilir-2-otaqli-yeni-tikili-nizami-rayonu-neftciler-metrosu-nizami-rayonu-elsen-suleymanov-kucesi-7
1086,250000,1086_satilir-2-otaqli-yeni-tikili-yasamal-rayonu-20-yanvar-metrosu-yasamal-ray-moskva-pr-20-yanvar-m,17,59,83,https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-20-yanvar-metrosu-yasamal-ray-moskva-pr-20-yanvar-m
1087,72500,1087_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-897,11,60,84,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-897
1088,108000,1088_satilir-2-otaqli-yeni-tikili-xirdalan-xirdalan-4077,6,61,85,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-xirdalan-4077
1089,98500,1089_satilir-2-otaqli-yeni-tikili-xirdalan-xirdalan-4072,6,62,86,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-xirdalan-4072
1090,96000,1090_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-yeni-masazir-yasayis-kompleksi-91,11,63,87,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-yeni-masazir-yasayis-kompleksi-91
1092,185000,1092_satilir-2-otaqli-yeni-tikili-xetai-rayonu-h-aslanov-qes-xudu-memmedov-kucesi-3,7,64,89,https://arenda.az/satilir-2-otaqli-yeni-tikili-xetai-rayonu-h-aslanov-qes-xudu-memmedov-kucesi-3
1093,165000,1093_satilir-2-otaqli-yeni-tikili-bineqedi-rayonu-nesimi-metrosu-9-cu-mikrorayon-adil-memmedov-7,14,65,90,https://arenda.az/satilir-2-otaqli-yeni-tikili-bineqedi-rayonu-nesimi-metrosu-9-cu-mikrorayon-adil-memmedov-7
1094,125000,1094_satilir-2-otaqli-kohne-tikili-nesimi-rayonu-memar-ecemi-metrosu-nesimi-ray-memar-ecemi-m-2,9,66,91,https://arenda.az/satilir-2-otaqli-kohne-tikili-nesimi-rayonu-memar-ecemi-metrosu-nesimi-ray-memar-ecemi-m-2
1096,128000,1096_satilir-1-otaqli-kohne-tikili-nerimanov-rayonu-neriman-nerimanov-metrosu-nerimanov-ray-aga-neymetulla-kuc-nerimanov-m,6,67,93,https://arenda.az/satilir-1-otaqli-kohne-tikili-nerimanov-rayonu-neriman-nerimanov-metrosu-nerimanov-ray-aga-neymetulla-kuc-nerimanov-m
1097,175000,1097_satilir-2-otaqli-kohne-tikili-sebail-rayonu-iceriseher-metrosu-sebail-ray-teymur-elcin-kuc-iceri-seher-m,5,68,94,https://arenda.az/satilir-2-otaqli-kohne-tikili-sebail-rayonu-iceriseher-metrosu-sebail-ray-teymur-elcin-kuc-iceri-seher-m
1098,151000,1098_satilir-2-otaqli-kohne-tikili-xetai-rayonu-hezi-aslanov-metrosu-ehmedli-xetai-ray-gence-pr-10,6,69,95,https://arenda.az/satilir-2-otaqli-kohne-tikili-xetai-rayonu-hezi-aslanov-metrosu-ehmedli-xetai-ray-gence-pr-10
1099,239000,1099_satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-azadliq-metrosu-8-ci-mikrorayon-bineqedi-ray-anar-sukurov-kuc-azadliq-m,10,70,96,https://arenda.az/satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-azadliq-metrosu-8-ci-mikrorayon-bineqedi-ray-anar-sukurov-kuc-azadliq-m
1100,182000,1100_satilir-3-otaqli-kohne-tikili-xetai-rayonu-hezi-aslanov-metrosu-nesreddin-tusi-4,26,71,97,https://arenda.az/satilir-3-otaqli-kohne-tikili-xetai-rayonu-hezi-aslanov-metrosu-nesreddin-tusi-4
1101,74000,1101_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-157,12,72,98,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-157
1102,52000,1102_satilir-1-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-29,9,73,99,https://arenda.az/satilir-1-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-29
1104,259000,1104_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-20-yanvar-metrosu-samaxinka-8,10,74,101,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-20-yanvar-metrosu-samaxinka-8
1106,265000,1106_satilir-3-otaqli-yeni-tikili-xetai-rayonu-xalqlar-dostlugu-metrosu-xalqlar-dostlugu-metrosu-mehemmed-hadi-136,16,75,103,https://arenda.az/satilir-3-otaqli-yeni-tikili-xetai-rayonu-xalqlar-dostlugu-metrosu-xalqlar-dostlugu-metrosu-mehemmed-hadi-136
1108,228000,1108_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-elmler-akademiyasi-metrosu-yasamal-qes-yasamal-mida-1,39,76,105,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-elmler-akademiyasi-metrosu-yasamal-qes-yasamal-mida-1
1109,227000,1109_satilir-2-otaqli-kohne-tikili-xetai-rayonu-xetai-metrosu-xetai-ray-ag-seher-yusif-seferov-kuc-xetai-m,12,77,106,https://arenda.az/satilir-2-otaqli-kohne-tikili-xetai-rayonu-xetai-metrosu-xetai-ray-ag-seher-yusif-seferov-kuc-xetai-m
1110,185000,1110_satilir-3-otaqli-kohne-tikili-nerimanov-rayonu-neriman-nerimanov-metrosu-nerimanov-ray-nazim-haciyev-kuc-nerimanov-m,7,78,107,https://arenda.az/satilir-3-otaqli-kohne-tikili-nerimanov-rayonu-neriman-nerimanov-metrosu-nerimanov-ray-nazim-haciyev-kuc-nerimanov-m
1111,275000,1111_satilir-3-otaqli-kohne-tikili-yasamal-rayonu-elmler-akademiyasi-metrosu-yasamal-rayonu-sefaet-mehdiyev-kucesi-8,16,79,108,https://arenda.az/satilir-3-otaqli-kohne-tikili-yasamal-rayonu-elmler-akademiyasi-metrosu-yasamal-rayonu-sefaet-mehdiyev-kucesi-8
1112,137000,1112_satilir-2-otaqli-yeni-tikili-suraxani-rayonu-yeni-gunesli-qes-abbas-fetullayev-6,13,80,109,https://arenda.az/satilir-2-otaqli-yeni-tikili-suraxani-rayonu-yeni-gunesli-qes-abbas-fetullayev-6
1113,160000,1113_satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yeni-yasamal-450,17,81,110,https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yeni-yasamal-450
1115,10000,1115_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-eliaga-vahid-kucesi-617,6,82,112,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-eliaga-vahid-kucesi-617
1117,10000,1117_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-eliaga-vahid-kucesi-637,4,83,114,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-eliaga-vahid-kucesi-637
1118,57000,1118_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-877,9,84,115,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-877
1120,160000,1120_satilir-2-otaqli-kohne-tikili-yasamal-rayonu-insaatcilar-metrosu-yasamal-qes-yasamal-rayonu-mireli-seyidov-kucesi-4,14,85,117,https://arenda.az/satilir-2-otaqli-kohne-tikili-yasamal-rayonu-insaatcilar-metrosu-yasamal-qes-yasamal-rayonu-mireli-seyidov-kucesi-4
1121,95000,1121_satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-408,16,86,118,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-408
1122,46500,1122_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-907,4,87,119,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-907
1126,110000,1126_satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-yeni-baki-yasayis-kompleksi-83,14,88,123,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-yeni-baki-yasayis-kompleksi-83
1127,102000,1127_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-yeni-baki-yasayis-kompleksi-171,10,89,124,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-yeni-baki-yasayis-kompleksi-171
1129,88000,1129_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-892,10,90,126,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-892
1130,183000,1130_satilir-3-otaqli-kohne-tikili-lenkeran-setterxan-kucesi-ev-4,3,91,127,https://arenda.az/satilir-3-otaqli-kohne-tikili-lenkeran-setterxan-kucesi-ev-4
1131,110000,1131_satilir-2-otaqli-yeni-tikili-10-cu-mikrorayon-rayonu-mida-yasayis-kompleksi,6,92,128,https://arenda.az/satilir-2-otaqli-yeni-tikili-10-cu-mikrorayon-rayonu-mida-yasayis-kompleksi
1132,209000,1132_satilir-3-otaqli-kohne-tikili-xetai-rayonu-ehmedli-metrosu-ehmedli-tenov-19,8,93,129,https://arenda.az/satilir-3-otaqli-kohne-tikili-xetai-rayonu-ehmedli-metrosu-ehmedli-tenov-19
1133,138000,1133_satilir-2-otaqli-yeni-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-avtovagzal-metrosu-kristal-abseron-54,16,94,130,https://arenda.az/satilir-2-otaqli-yeni-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-avtovagzal-metrosu-kristal-abseron-54
1134,126500,1134_satilir-2-otaqli-yeni-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-avtovagzal-metrosu-kristal-abseron-47,27,95,131,https://arenda.az/satilir-2-otaqli-yeni-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-avtovagzal-metrosu-kristal-abseron-47
1135,120000,1135_satilir-2-otaqli-yeni-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-avtovagzal-metrosu-kristal-abseron-39,12,96,132,https://arenda.az/satilir-2-otaqli-yeni-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-avtovagzal-metrosu-kristal-abseron-39
1136,168500,1136_satilir-2-otaqli-yeni-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-avtovagzal-metrosu-kristal-abseron-51,20,97,133,https://arenda.az/satilir-2-otaqli-yeni-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-avtovagzal-metrosu-kristal-abseron-51
