link,price,rooms,area_m2,land_area_sot,floor,has_document,address,avtodayanacaq,balkon,duzelme,esyali,hovuz,internet,isiq,kabel_tv,kombi,kondisioner,lift,merkezi_qizdirici_sistem,metbex_mebeli,pvc_pencere,qaz,su,telefon,temirli,temirsiz
https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-670,85000,2,40,,10,Yes,Xırdalan,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-kohne-tikili-suraxani-rayonu-yeni-gunesli-qes-y-gunesli-qes-v-yasayis-massivi-1,129000,2,60,,1,Yes,"Bakı, Suraxanı, Yeni Günəşli qəs.",Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-6-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-asef-zeynalli-66,279000,6,250,2.5,3,Yes,"Bakı, Binəqədi, Biləcəri qəs., metro Avtovağzal",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-esed-ehmedov-kucesi-68,320000,3,113,,18,Yes,"Bakı, Yasamal, metro İnşaatçılar",No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-681,73500,2,41,,2,Yes,"Bakı, Abşeron, Masazır",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-6-otaqli-bag-evi-xizi-xizi-rayonu-altiagac-qesebesi,75000,6,,4,2,Yes,Xızı,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
https://arenda.az/satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-natavan-hebibi-55-4,104000,3,55,,2,Yes,"Bakı, Binəqədi, Biləcəri qəs., metro Avtovağzal",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-dairesi-metro-avtovagzalin-cixisinda-resid-ismayilov-kuc,150000,3,65,,2,Yes,"Bakı, Binəqədi, Biləcəri qəs., metro Avtovağzal",Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xezer-rayonu-buzovna-buzovna-merkez,140000,2,58,,6,Yes,"Bakı, Xəzər, Buzovna",No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-kohne-tikili-nizami-rayonu-neftciler-metrosu-8-ci-kilometr-qara-qarayev-prospekti-32,68000,2,45,,2,Yes,"Bakı, Nizami, 8-ci kilometr, metro Neftçilər",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-icra-hakimiyyetinin-arxasinda,390000,4,,5,1,Yes,"Bakı, Xəzər, Mərdəkan",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-234,480000,4,,6,1,Yes,"Bakı, Xəzər, Mərdəkan",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-3-otaqli-kohne-tikili-xetai-rayonu-ehmedli-metrosu-ehmedli-ehmedli-qes-lutvuzade-telnov-kuc-4,148000,3,55,,5,Yes,"Bakı, Xətai, Əhmədli, metro Əhmədli",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-233,245000,4,,3,1,Yes,"Bakı, Xəzər, Mərdəkan",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-80,770000,5,,5.5,2,Yes,"Bakı, Xəzər, Mərdəkan",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kuces-8,9900,2,72,,10,No,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kuces-7,9900,2,60,,6,No,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kuces-4,9900,3,90,,7,No,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-16,24000,3,77,,5,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xetai-rayonu-ehmedli-metrosu-ehmedli-m-s-10d-mesafe-serur-mtk,55000,2,62,,20,Yes,"Bakı, Xətai, metro Əhmədli",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-baki-sumqayit-yolu-106,92000,2,57,,4,Yes,Xırdalan,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-671,54500,2,29,,3,No,Xırdalan,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-19,25100,3,129.8,,5,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yasamal-rayonu-yeni-yasamal-qesebesi-mehemmed-xiyabani-kucesi-45,107000,3,130,,15,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-10,104999,3,129.8,,15,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-mehemmed-xiyabani-kucesinde-1,27000,3,129.8,,3,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-6,32000,3,155,,5,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park-3,13000,2,43,,4,Yes,"Bakı, Abşeron, Qobu",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park-2,11000,2,67.51,,9,Yes,"Bakı, Abşeron, Qobu",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park-1,12000,2,59.39,,6,Yes,"Bakı, Abşeron, Qobu",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park,12000,2,42.5,,3,Yes,"Bakı, Abşeron, Qobu",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-qobu-jasmin-park,11000,3,78,,2,Yes,"Bakı, Abşeron, Qobu",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-bravo-marketin-yaxinliginda,21100,3,107,,4,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-23,26000,3,129.8,,13,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-jasmin-park-14,26999,2,89.5,,14,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-xetai-rayonu-ehmedli-metrosu-ehmedli-lutfuzade-kucesinde,200000,3,92,,10,Yes,"Bakı, Xətai, Əhmədli, metro Əhmədli",No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-139,117000,4,120,2.5,1,Yes,"Bakı, Xəzər, Binə qəs.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
https://arenda.az/satilir-6-otaqli-bag-evi-sabuncu-rayonu-nardaran-qes-nardaran-sea-breez-deniz-teref-15-ci-dalan,320000,6,,12,2,Yes,"Bakı, Sabunçu, Nardaran qəs.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xirdalan-icraya-yaxin-1,145000,3,110,2,1,Yes,Xırdalan,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xirdalan-icraya-yaxin,125000,3,110,1.73,1,Yes,Xırdalan,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
https://arenda.az/satilir-1-otaqli-yeni-tikili-xirdalan-aafpark-2,54000,1,30,,5,No,Xırdalan,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No
https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-232,355000,4,,6,1,Yes,"Bakı, Xəzər, Mərdəkan",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-suvelan-suvelan-qesebesinde-139,275000,4,,4,1,Yes,"Bakı, Xəzər, Şüvəlan",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-2-otaqli-heyet-evi-villa-yasamal-rayonu-insaatcilar-metrosu-d-bunyadzade-kuc-3,74000,2,40,0.4,1,Yes,"Bakı, Yasamal, metro İnşaatçılar",No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-9-otaqli-bag-evi-xezer-rayonu-bine-qes-bine-atcliq-erazisi,250000,9,,7,3,No,"Bakı, Xəzər, Binə qəs.",No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-1-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yasamal-qes-musteqil-kucesi,125000,1,41,,2,Yes,"Bakı, Yasamal, Yasamal qəs., metro İnşaatçılar",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-qurtulus-93-57,88000,3,82.4,,3,Yes,"Bakı, Abşeron, Masazır",Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes
https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-1719,90000,3,69,,1,Yes,"Bakı, Abşeron, Masazır",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-yeni-baki-yasayis-kompleksi-166,87500,2,44,,5,Yes,"Bakı, Abşeron, Masazır",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-5-otaqli-kohne-tikili-xetai-rayonu-hezi-aslanov-metrosu-ehmedli-hezi-aslanov-metrosu-n-tusi-kucesi,239000,5,115,,2,Yes,"Bakı, Xətai, Əhmədli, metro Həzi Aslanov",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-azadliq-metrosu-bineqedi-ray-sovket-memmedova-kuc-azadliq-m,257000,3,85,,2,Yes,"Bakı, Binəqədi, metro Azadlıq",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-heyet-evi-villa-yasil-dere-rayonu-vahabzade227,67000,3,90,3.5,1,No,"Sumqayıt, Yaşıl dərə",No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-7-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-bine-qesebesi-yasil-aptek-deyilen-dayanacaq-kanalin-yani,155000,7,300,8,2,No,"Bakı, Xəzər, Binə qəs.",No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-1162,63000,2,42,,5,No,"Bakı, Abşeron, Masazır",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-4-otaqli-kohne-tikili-yasamal-rayonu-iceriseher-metrosu-yeni-yasamal-qes-d-bunyadzade-kucesi,205000,4,110,,4,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İçərişəhər",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-bineqedi-rayonu-9-cu-mikrorayon-bineqedi-ray-adil-memmedov-kuc-9-mkr,247000,3,70,,9,Yes,"Bakı, Binəqədi, 9-cu mikrorayon",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-2-otaqli-kohne-tikili-sabuncu-rayonu-koroglu-metrosu-zabrat-1-ayxan-marketin-yaxinligi-binanin-7-9,80000,2,35,,7,Yes,"Bakı, Sabunçu, metro Koroğlu",No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
https://arenda.az/satilir-4-otaqli-kohne-tikili-bineqedi-rayonu-azadliq-metrosu-bineqedi-ray-f-melikov-kuc-azadliq-m,225000,4,100,,7,Yes,"Bakı, Binəqədi, metro Azadlıq",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-xirdalan-4080,108000,2,56,,2,Yes,Xırdalan,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-3-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-qes-plosad,150000,3,100,1.5,1,Yes,"Bakı, Binəqədi, Biləcəri qəs., metro Avtovağzal",Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-179,178000,4,200,3,2,Yes,"Bakı, Abşeron, Masazır",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-1633,115000,3,75,,2,Yes,"Bakı, Abşeron, Masazır",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-2843,96500,2,54,,3,Yes,"Bakı, Abşeron, Masazır",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-2372,57000,2,57,,5,No,"Bakı, Abşeron, Masazır",No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-1175,80500,2,55,,1,No,"Bakı, Abşeron, Masazır",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-xirdalan-xirdalan-seher-atlas-residence-yasayis-kompleksi,145000,3,67,,12,Yes,Xırdalan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-nizami-rayonu-neftciler-metrosu-nizami-rayonu-elsen-suleymanov-kucesi-7,180000,2,87,,9,Yes,"Bakı, Nizami, metro Neftçilər",Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-20-yanvar-metrosu-yasamal-ray-moskva-pr-20-yanvar-m,250000,2,123,,9,Yes,"Bakı, Yasamal, metro 20 Yanvar",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-897,72500,2,42,,2,Yes,"Bakı, Abşeron, Masazır",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-xirdalan-4077,108000,2,54,,3,Yes,Xırdalan,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-xirdalan-4072,98500,2,46,,6,Yes,Xırdalan,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-yeni-masazir-yasayis-kompleksi-91,96000,2,54,,2,Yes,"Bakı, Abşeron, Masazır",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-5-otaqli-heyet-evi-villa-xirdalan-qarabag-kucesi-ev-6,177000,5,165,3,2,Yes,Xırdalan,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xetai-rayonu-h-aslanov-qes-xudu-memmedov-kucesi-3,185000,2,65,,8,Yes,"Bakı, Xətai, H.Aslanov qəs.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
