house_id,price,image_folder_name,n_images,house_clean_idx,house_raw_idx,source_raw_idx,link,mapping_method
1057,125000,1057_satilir-3-otaqli-heyet-evi-villa-xirdalan-icraya-yaxin,11,12,12,55,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xirdalan-icraya-yaxin,exact_clean_to_raw
1059,355000,1059_satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-232,17,13,13,57,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-232,group_assignment_clean_to_raw
1060,275000,1060_satilir-4-otaqli-bag-evi-xezer-rayonu-suvelan-suvelan-qesebesinde-139,16,14,14,58,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-suvelan-suvelan-qesebesinde-139,group_assignment_clean_to_raw
1061,74000,1061_satilir-2-otaqli-heyet-evi-villa-yasamal-rayonu-insaatcilar-metrosu-d-bunyadzade-kuc-3,9,15,15,59,https://arenda.az/satilir-2-otaqli-heyet-evi-villa-yasamal-rayonu-insaatcilar-metrosu-d-bunyadzade-kuc-3,exact_clean_to_raw
1062,250000,1062_satilir-9-otaqli-bag-evi-xezer-rayonu-bine-qes-bine-atcliq-erazisi,30,16,16,60,https://arenda.az/satilir-9-otaqli-bag-evi-xezer-rayonu-bine-qes-bine-atcliq-erazisi,group_assignment_clean_to_raw
1070,67000,1070_satilir-3-otaqli-heyet-evi-villa-yasil-dere-rayonu-vahabzade227,9,17,17,67,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-yasil-dere-rayonu-vahabzade227,exact_clean_to_raw
1071,155000,1071_satilir-7-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-bine-qesebesi-yasil-aptek-deyilen-dayanacaq-kanalin-yani,18,18,18,68,https://arenda.az/satilir-7-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-bine-qesebesi-yasil-aptek-deyilen-dayanacaq-kanalin-yani,exact_clean_to_raw
1078,150000,1078_satilir-3-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-qes-plosad,18,19,19,75,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-qes-plosad,exact_clean_to_raw
1079,178000,1079_satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-179,32,20,20,76,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-179,exact_clean_to_raw
1091,177000,1091_satilir-5-otaqli-heyet-evi-villa-xirdalan-qarabag-kucesi-ev-6,25,21,21,88,https://arenda.az/satilir-5-otaqli-heyet-evi-villa-xirdalan-qarabag-kucesi-ev-6,exact_clean_to_raw
1095,95000,1095_satilir-4-otaqli-heyet-evi-villa-sabuncu-rayonu-koroglu-metrosu-zabrat-qes-memmedyarov-kucesi,11,22,22,92,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-sabuncu-rayonu-koroglu-metrosu-zabrat-qes-memmedyarov-kucesi,exact_clean_to_raw
1103,135000,1103_satilir-4-otaqli-heyet-evi-villa-zaqatala-zaqatala-rayonu-cokek-oba-1,11,23,23,100,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-zaqatala-zaqatala-rayonu-cokek-oba-1,exact_clean_to_raw
1114,65000,1114_satilir-3-otaqli-heyet-evi-villa-xirdalan-xirdalanda-aff-parkin-arxasi,21,24,24,111,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xirdalan-xirdalanda-aff-parkin-arxasi,exact_clean_to_raw
1123,195000,1123_satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-127,16,25,25,120,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-127,exact_clean_to_raw
1124,90000,1124_satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-132,17,26,26,121,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-132,exact_clean_to_raw
1125,45000,1125_satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-358,9,27,27,122,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-358,exact_clean_to_raw
1128,190000,1128_satilir-4-otaqli-bag-evi-abseron-rayonu-novxani-abseron-ray-novxani-kendi-araz-marketnen-uzbeuz-kuce-ev-30,11,28,28,125,https://arenda.az/satilir-4-otaqli-bag-evi-abseron-rayonu-novxani-abseron-ray-novxani-kendi-araz-marketnen-uzbeuz-kuce-ev-30,group_assignment_clean_to_raw
1147,115000,1147_satilir-3-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-memmedogullari-servisin-yaxinligi,14,29,29,144,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-memmedogullari-servisin-yaxinligi,exact_clean_to_raw
1148,83000,1148_satilir-3-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-xudat-melikaslanov-kucesi-6ci-donge,17,30,30,145,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-xudat-melikaslanov-kucesi-6ci-donge,exact_clean_to_raw
1159,550000,1159_satilir-7-otaqli-heyet-evi-villa-bineqedi-rayonu-nesimi-metrosu-m-memmedxan-kucesi,30,31,31,155,https://arenda.az/satilir-7-otaqli-heyet-evi-villa-bineqedi-rayonu-nesimi-metrosu-m-memmedxan-kucesi,exact_clean_to_raw
1174,64500,1174_satilir-3-otaqli-heyet-evi-villa-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-239,12,32,32,170,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-239,exact_clean_to_raw
1179,920000,1179_satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-58,33,33,33,171,https://arenda.az/satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-58,group_assignment_clean_to_raw
1180,390000,1180_satilir-4-otaqli-bag-evi-xezer-rayonu-suvelan-suvelan-qesebesinde-denize-0-km-mesafede-deniz-yolunda,14,34,34,172,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-suvelan-suvelan-qesebesinde-denize-0-km-mesafede-deniz-yolunda,group_assignment_clean_to_raw
1181,595000,1181_satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-coffee-bagh-in-arxasinda,29,35,35,173,https://arenda.az/satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-coffee-bagh-in-arxasinda,group_assignment_clean_to_raw
1182,510000,1182_satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-34,22,36,36,174,https://arenda.az/satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-34,group_assignment_clean_to_raw
1183,1300000,1183_satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-qizilqum-adlanan-erazide,26,37,37,175,https://arenda.az/satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-qizilqum-adlanan-erazide,group_assignment_clean_to_raw
1184,250000,1184_satilir-4-otaqli-bag-evi-xezer-rayonu-suvelan-suvelan-qesebesinde-110,23,38,38,176,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-suvelan-suvelan-qesebesinde-110,group_assignment_clean_to_raw
1185,600000,1185_satilir-5-otaqli-bag-evi-sabuncu-rayonu-bilgeh-qes-bilgeh-qesebesinde-seabreeze-ile-uzbeuz,30,39,39,177,https://arenda.az/satilir-5-otaqli-bag-evi-sabuncu-rayonu-bilgeh-qes-bilgeh-qesebesinde-seabreeze-ile-uzbeuz,group_assignment_clean_to_raw
1186,1350000,1186_satilir-7-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-bravo-supermatket-yaxinliginda,27,40,40,178,https://arenda.az/satilir-7-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-bravo-supermatket-yaxinliginda,group_assignment_clean_to_raw
1187,153000,1187_satilir-3-otaqli-bag-evi-xezer-rayonu-suvelan-suvelan-qesebesinde-7,16,41,41,179,https://arenda.az/satilir-3-otaqli-bag-evi-xezer-rayonu-suvelan-suvelan-qesebesinde-7,group_assignment_clean_to_raw
1188,398000,1188_satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-190,20,42,42,180,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-190,group_assignment_clean_to_raw
1189,880000,1189_satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-esas-yola-yaxin,36,43,43,181,https://arenda.az/satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-esas-yola-yaxin,group_assignment_clean_to_raw
1190,300000,1190_satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-teze-yoldan-200-metr-mesafede,19,44,44,182,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-teze-yoldan-200-metr-mesafede,group_assignment_clean_to_raw
1191,490000,1191_satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-bravo-marketin-arxasi,23,45,45,183,https://arenda.az/satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-bravo-marketin-arxasi,group_assignment_clean_to_raw
1192,348000,1192_satilir-7-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-7,18,46,46,184,https://arenda.az/satilir-7-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-7,group_assignment_clean_to_raw
1193,220000,1193_satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-198,16,47,47,185,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-198,group_assignment_clean_to_raw
1194,560000,1194_satilir-6-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-korpuye-yaxin,23,48,48,186,https://arenda.az/satilir-6-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-korpuye-yaxin,group_assignment_clean_to_raw
1195,165000,1195_satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-219,16,49,49,187,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-219,group_assignment_clean_to_raw
1196,195000,1196_satilir-4-otaqli-bag-evi-xezer-rayonu-suvelan-suvelan-qesebesinde-126,17,50,50,188,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-suvelan-suvelan-qesebesinde-126,group_assignment_clean_to_raw
1197,750000,1197_satilir-6-otaqli-bag-evi-sabuncu-rayonu-bilgeh-qes-bilgeh-qesebesinde,37,51,51,189,https://arenda.az/satilir-6-otaqli-bag-evi-sabuncu-rayonu-bilgeh-qes-bilgeh-qesebesinde,group_assignment_clean_to_raw
1199,185000,1199_satilir-4-otaqli-heyet-evi-villa-xirdalan-h-z-tagiyev-kuc-kecid-1-donge-1-ev-4-2,10,52,52,191,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xirdalan-h-z-tagiyev-kuc-kecid-1-donge-1-ev-4-2,exact_clean_to_raw
1206,117500,1206_satilir-5-otaqli-heyet-evi-villa-xirdalan-5-sayli-orta-mektebin-yaxinliginda,19,53,53,197,https://arenda.az/satilir-5-otaqli-heyet-evi-villa-xirdalan-5-sayli-orta-mektebin-yaxinliginda,exact_clean_to_raw
1211,82000,1211_satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-bine-qesebesi-589,15,54,54,202,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-bine-qesebesi-589,exact_clean_to_raw
1212,930000,1212_satilir-3-otaqli-heyet-evi-villa-abseron-rayonu-mehemmedli-abseron-rayonu-memmedli-qesebesi-5,12,55,55,203,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-abseron-rayonu-mehemmedli-abseron-rayonu-memmedli-qesebesi-5,exact_clean_to_raw
1224,90000,1224_satilir-3-otaqli-heyet-evi-villa-qaradag-rayonu-lokbatan-qes-h-aslanov-kucesi,10,56,56,215,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-qaradag-rayonu-lokbatan-qes-h-aslanov-kucesi,exact_clean_to_raw
1225,205000,1225_satilir-6-otaqli-heyet-evi-villa-yasamal-rayonu-insaatcilar-metrosu-u-ekberov-kuc-4,17,57,57,216,https://arenda.az/satilir-6-otaqli-heyet-evi-villa-yasamal-rayonu-insaatcilar-metrosu-u-ekberov-kuc-4,exact_clean_to_raw
1226,55000,1226_satilir-3-otaqli-heyet-evi-villa-abseron-rayonu-masazir-masazir-qesebesi-719,22,58,58,217,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-abseron-rayonu-masazir-masazir-qesebesi-719,exact_clean_to_raw
1231,87000,1231_satilir-3-otaqli-heyet-evi-villa-abseron-rayonu-masazir-s-qurbanov-34,14,59,59,222,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-abseron-rayonu-masazir-s-qurbanov-34,exact_clean_to_raw
1232,68000,1232_satilir-3-otaqli-heyet-evi-villa-abseron-rayonu-masazir-qum-bazarin,8,60,60,223,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-abseron-rayonu-masazir-qum-bazarin,exact_clean_to_raw
1233,92000,1233_satilir-4-otaqli-heyet-evi-villa-xirdalan-xirdalan-seheri-572,12,61,61,224,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xirdalan-xirdalan-seheri-572,exact_clean_to_raw
1234,165000,1234_satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-sabir-kuc-23,14,62,62,225,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-sabir-kuc-23,exact_clean_to_raw
1235,148000,1235_satilir-5-otaqli-heyet-evi-villa-abseron-rayonu-masazir-eliaga-vahid-kuc-23-1,11,63,63,226,https://arenda.az/satilir-5-otaqli-heyet-evi-villa-abseron-rayonu-masazir-eliaga-vahid-kuc-23-1,exact_clean_to_raw
1236,195000,1236_satilir-6-otaqli-heyet-evi-villa-abseron-rayonu-masazir-6-nomreli-mekteb,14,64,64,227,https://arenda.az/satilir-6-otaqli-heyet-evi-villa-abseron-rayonu-masazir-6-nomreli-mekteb,exact_clean_to_raw
1238,90000,1238_satilir-4-otaqli-heyet-evi-villa-st-sumqayit-rayonu-sumqayit-meronun-arxasi-heyyet-evleri,12,65,65,229,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-st-sumqayit-rayonu-sumqayit-meronun-arxasi-heyyet-evleri,exact_clean_to_raw
1242,95000,1242_satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-masazir-qesebesi-551,14,66,66,233,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-masazir-qesebesi-551,exact_clean_to_raw
1247,64000,1247_satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-ali-isazada-1,8,67,67,238,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-ali-isazada-1,exact_clean_to_raw
1254,67000,1254_satilir-3-otaqli-heyet-evi-villa-xezer-baglari-rayonu-xezer-baglari-1,13,68,68,245,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xezer-baglari-rayonu-xezer-baglari-1,exact_clean_to_raw
1279,24000,1279_satilir-1-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-bine-qesebesi-72,5,69,69,270,https://arenda.az/satilir-1-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-bine-qesebesi-72,exact_clean_to_raw
1282,125000,1282_satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-xezer-ray-bine-qes-bolluq-massifi-merdakan-sossesine-trasina-5deq-mesafede-yerlesir,15,70,70,273,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-xezer-ray-bine-qes-bolluq-massifi-merdakan-sossesine-trasina-5deq-mesafede-yerlesir,exact_clean_to_raw
1289,33000,1289_satilir-2-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-37,5,71,71,280,https://arenda.az/satilir-2-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-37,exact_clean_to_raw
1291,75000,1291_satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-349,6,72,73,282,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-349,exact_clean_to_raw
1292,42000,1292_satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-357,6,73,74,283,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-357,exact_clean_to_raw
1295,145000,1295_satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-137,12,74,75,286,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-137,exact_clean_to_raw
1296,560000,1296_satilir-8-otaqli-bag-evi-abseron-rayonu-goradil-serhedci-istirahet-merkezinin-yani,35,75,76,287,https://arenda.az/satilir-8-otaqli-bag-evi-abseron-rayonu-goradil-serhedci-istirahet-merkezinin-yani,group_assignment_clean_to_raw
1302,180000,1302_satilir-3-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-92,20,76,77,293,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-92,exact_clean_to_raw
1308,495000,1308_satilir-4-otaqli-heyet-evi-villa-sabuncu-rayonu-bilgeh-qes-bilgeh-qesebesi-18-ci-dalan,23,77,78,299,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-sabuncu-rayonu-bilgeh-qes-bilgeh-qesebesi-18-ci-dalan,exact_clean_to_raw
1310,110000,1310_satilir-4-otaqli-heyet-evi-villa-sabuncu-rayonu-savalan-qes-sabuncu-rayonu-savalan-qesebesinde-12,10,78,79,301,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-sabuncu-rayonu-savalan-qes-sabuncu-rayonu-savalan-qesebesinde-12,exact_clean_to_raw
1329,97000,1329_satilir-3-otaqli-bag-evi-qurd-deresi-rayonu-sumqayit-s-qurd-deresi-baglar-massivi,7,79,80,320,https://arenda.az/satilir-3-otaqli-bag-evi-qurd-deresi-rayonu-sumqayit-s-qurd-deresi-baglar-massivi,group_assignment_clean_to_raw
1343,138000,1343_satilir-4-otaqli-heyet-evi-villa-nizami-rayonu-qara-qarayev-metrosu-cobanzade-kucesi-boyuk-saraya-yaxin,18,80,81,334,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-nizami-rayonu-qara-qarayev-metrosu-cobanzade-kucesi-boyuk-saraya-yaxin,exact_clean_to_raw
1351,265000,1351_satilir-4-otaqli-heyet-evi-villa-xirdalan-aaaf-parkda,21,81,82,341,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xirdalan-aaaf-parkda,exact_clean_to_raw
1362,95000,1362_satilir-3-otaqli-heyet-evi-villa-yasil-dere-rayonu-10a-avtobus-xettinin-son-dayanacagina-piyada-cemi-2-deqiqelik-mesafe,12,82,83,352,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-yasil-dere-rayonu-10a-avtobus-xettinin-son-dayanacagina-piyada-cemi-2-deqiqelik-mesafe,exact_clean_to_raw
1372,175000,1372_satilir-5-otaqli-heyet-evi-villa-bineqedi-rayonu-bileceri-qes-bineqedi-r-bileceri-qess-atv-mehellesi,13,83,84,362,https://arenda.az/satilir-5-otaqli-heyet-evi-villa-bineqedi-rayonu-bileceri-qes-bineqedi-r-bileceri-qess-atv-mehellesi,exact_clean_to_raw
1382,150000,1382_satilir-4-otaqli-heyet-evi-villa-sabuncu-rayonu-bakixanov-qes-bakixanov-qesebesi-10,14,84,85,372,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-sabuncu-rayonu-bakixanov-qes-bakixanov-qesebesi-10,exact_clean_to_raw
1389,150000,1389_satilir-5-otaqli-heyet-evi-villa-xezer-rayonu-turkan-uzumculuk-savxozu,11,85,86,379,https://arenda.az/satilir-5-otaqli-heyet-evi-villa-xezer-rayonu-turkan-uzumculuk-savxozu,exact_clean_to_raw
1415,110000,1415_satilir-3-otaqli-heyet-evi-villa-xirdalan-xirdalan-dairesine-yaxin-9,7,86,87,404,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xirdalan-xirdalan-dairesine-yaxin-9,exact_clean_to_raw
1419,76000,1419_satilir-2-otaqli-heyet-evi-villa-xirdalan-aafparka-arxa-terefinde,10,87,88,408,https://arenda.az/satilir-2-otaqli-heyet-evi-villa-xirdalan-aafparka-arxa-terefinde,exact_clean_to_raw
1420,160000,1420_satilir-5-otaqli-heyet-evi-villa-xirdalan-kend-xirdalan,22,88,89,409,https://arenda.az/satilir-5-otaqli-heyet-evi-villa-xirdalan-kend-xirdalan,exact_clean_to_raw
1439,115000,1439_satilir-3-otaqli-bag-evi-sabuncu-rayonu-nardaran-qes-lehis-baglari-42-ci-dalan,13,89,90,428,https://arenda.az/satilir-3-otaqli-bag-evi-sabuncu-rayonu-nardaran-qes-lehis-baglari-42-ci-dalan,group_assignment_clean_to_raw
1444,125000,1444_satilir-4-otaqli-heyet-evi-villa-xirdalan-xirdalan-seheri-xezine-palace-sadliq-sarayinin-yaxinliginda,28,90,91,433,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xirdalan-xirdalan-seheri-xezine-palace-sadliq-sarayinin-yaxinliginda,exact_clean_to_raw
1445,45000,1445_satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-338,8,91,92,434,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-338,exact_clean_to_raw
1446,55000,1446_satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-352,10,92,93,435,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-352,exact_clean_to_raw
1447,28000,1447_satilir-1-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-7,5,93,94,436,https://arenda.az/satilir-1-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-7,exact_clean_to_raw
1448,330000,1448_satilir-7-otaqli-heyet-evi-villa-xezer-rayonu-buzovna-buzovna-qes-8,30,94,95,437,https://arenda.az/satilir-7-otaqli-heyet-evi-villa-xezer-rayonu-buzovna-buzovna-qes-8,exact_clean_to_raw
1456,45000,1456_satilir-2-otaqli-heyet-evi-villa-bineqedi-rayonu-azadliq-metrosu-bineqedi-qes-bineqedi-qesebesi-642,7,95,96,445,https://arenda.az/satilir-2-otaqli-heyet-evi-villa-bineqedi-rayonu-azadliq-metrosu-bineqedi-qes-bineqedi-qesebesi-642,exact_clean_to_raw
1461,97000,1461_satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-masazir-752,26,96,97,450,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-masazir-752,exact_clean_to_raw
1466,105000,1466_satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-masazir-qesebesi-550,10,97,98,455,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-masazir-qesebesi-550,exact_clean_to_raw
1467,100000,1467_satilir-4-otaqli-heyet-evi-villa-xirdalan-xirdalan-seheri-554,15,98,99,456,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xirdalan-xirdalan-seheri-554,exact_clean_to_raw
1468,110000,1468_satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-masazir-qesebesi-527,15,99,100,457,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-masazir-qesebesi-527,exact_clean_to_raw
